instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Advanced College of Cosmetology,Advanced College of Cosmetology,25 West Main Street,Waupun,-88.736198,43.632848,61,11840,,,,,,,,,6,
Advanced College-Stockton,Advanced College-Stockton,8838 North West Lane,Stockton,-121.294530,38.025552,17,,,,,,,,,,4,
Advanced Technology Institute,Advanced Technology Institute,5700 Southern Blvd Ste 100,Virginia Beach,-76.182268,36.841381,42,18999,448,350,,,,,,,20,
Advanced Training Associates,Advanced Training Associates,1810 Gillespie Way  Suite 104,El Cajon,-116.981781,32.819023,88,12023,,,,,,,,,18,
Advanced Training Institute,Advanced Training Institute,5150 S. Decatur Blvd.,Las Vegas,-115.206821,36.095890,78,,,,,,,,,,15,
Advanced Welding Institute,Advanced Welding Institute,2 Green Tree Dr Suite 3,South Burlington,-73.139437,44.455880,60,19315,,,,,,,,,11,
Advantage Career Institute,Advantage Career Institute,2 Meridian Road,Eatontown,-74.049694,40.279075,27,4255,,,,,,,,,17,
Advantage Technical College,Advantage Technical College,Ponce de Leon Avenue #818,San Juan,-66.081082,18.454692,,,,,,,,,,,15,
Advantage Technical College,Advantage Technical College,3 Ramos Velez St,Manati,-66.493084,18.428049,81,8411,,,,,,,,,27,
AdventHealth University,AdventHealth University,671 Winyah Drive,Orlando,-81.367687,28.576142,59,17145,267,232,460,560,450,520,18,22,7,
Advertising Art Educational Services DBA School of Advertising Art,Advertising Art Educational Services DBA School of Advertising Art,1725 E David Rd,Kettering,-84.134269,39.681305,69,29336,302,276,,,,,,,13,
Aesthetic Science Institute,Aesthetic Science Institute,922 Troy-Schenectady Road,Latham,-73.794947,42.761940,41,9079,,,,,,,,,16,
Agnes Scott College,Agnes Scott College,141 E. College Ave.,Decatur,-84.295459,33.769268,95,21624,1625,1144,,,,,,,10,
AI Miami International University of Art and Design,AI Miami International University of Art and Design,1501 Biscayne Boulevard,Miami,-80.188390,25.790008,92,18457,,,,,,,,,22,
Aiken School of Cosmetology and Barbering,Aiken School of Cosmetology and Barbering,225 Richland Ave East,Aiken,-81.717280,33.559545,38,18050,,,,,,,,,17,
Aiken Technical College,Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,-81.841666,33.533833,76,,,,,,,,,,13,
Aims Community College,Aims Community College,5401 W. 20th St.,Greeley,-104.763415,40.409559,41,,,,,,,,,,16,
Air Force Institute of Technology-Graduate School of Engineering & Management,Air Force Institute of Technology-Graduate School of Engineering & Management,2950 Hobson Way,Wright-Patterson AFB,-84.082618,39.782221,,,,,,,,,,,,
Akron School of Practical Nursing,Akron School of Practical Nursing,630 Mull Avenue,Akron,-81.571862,41.099050,,,,,,,,,,,,
Alabama A & M University,Alabama A & M University,4900 Meridian Street,Normal,-86.568502,34.783368,87,,9638,8661,430,520,420,510,16,19,20,
Alabama College of Osteopathic Medicine,Alabama College of Osteopathic Medicine,445 Health Sciences Boulevard,Dothan,-85.340805,31.206294,,,,,,,,,,,,
Alabama School of Nail Technology & Cosmetology,Alabama School of Nail Technology & Cosmetology,202 Commerce Street,Jackson,-87.893386,31.509970,73,9605,,,,,,,,,20,
Alabama Southern Community College,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,-87.326352,31.488925,,,,,,,,,,,,
Alabama State College of Barber Styling,Alabama State College of Barber Styling,753 Main Street,Gardendale,-86.810488,33.643546,41,9720,,,,,,,,,8,
Alabama State University,Alabama State University,915 S Jackson Street,Montgomery,-86.295677,32.364317,89,,7783,7607,440,520,420,510,16,20,15,
