instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Tennessee School of Beauty of Knoxville Inc,Tennessee School of Beauty of Knoxville Inc,4704 Western Ave,Knoxville,-83.995119,35.974432,31,11006,,,,,,,,,20,
Tennessee State University,Tennessee State University,3500 John A. Merritt Blvd,Nashville,-86.828275,36.166321,78,,,,,,,,,,12,
Tennessee Technological University,Tennessee Technological University,1 William L. Jones Drive,Cookeville,-85.504039,36.174754,80,,6913,5237,530,620,520,640,21,27,18,
Tennessee Wesleyan University,Tennessee Wesleyan University,204 East College Street,Athens,-84.592728,35.446331,99,13457,756,450,470,620,450,540,19,25,13,
Terra State Community College,Terra State Community College,2830 Napoleon Rd,Fremont,-83.157799,41.354111,32,,,,,,,,,,13,
Teterboro School of Aeronautics,Teterboro School of Aeronautics,80 Moonachie Ave,Teterboro,-74.071874,40.841265,78,11786,,,,,,,,,25,
Texarkana College,Texarkana College,2500 N Robison Rd,Texarkana,-94.078000,33.441868,41,,,,,,,,,,22,
Texas A & M International University,Texas A & M International University,5201 University Blvd,Laredo,-99.436043,27.571172,67,,7216,3758,470,560,460,540,16,21,22,
Texas A & M University-Central Texas,Texas A & M University-Central Texas,1001 Leadership Place,Killeen,-97.775182,31.053407,62,,,,,,,,,,14,
Texas A & M University-College Station,Texas A & M University-College Station,JKW Administration Building  Suite 200,College Station,-96.336475,30.618726,55,,36000,24343,580,680,590,700,25,31,20,
Texas A & M University-Commerce,Texas A & M University-Commerce,2600 South Neal Street,Commerce,-95.908451,33.243745,70,,10063,3459,490,580,470,560,17,23,21,
Texas A & M University-Corpus Christi,Texas A & M University-Corpus Christi,6300 Ocean Dr.,Corpus Christi,-97.323950,27.713723,47,,9053,7875,500,590,480,570,18,23,19,
Texas A & M University-Kingsville,Texas A & M University-Kingsville,955 University Blvd,Kingsville,-97.882387,27.525168,60,,7320,6523,470,570,470,560,17,22,18,
Texas A & M University-System Office,Texas A & M University-System Office,301 Tarrow,College Station,-96.327705,30.636846,,,,,,,,,,,,
Texas A&M University-San Antonio,Texas A&M University-San Antonio,One University Way,San Antonio,-98.524170,29.304762,74,,7501,2233,470,550,460,530,17,19,18,
Texas A&M University-Texarkana,Texas A&M University-Texarkana,7101 University Avenue,Texarkana,-94.103617,33.490482,79,,3850,1967,500,570,490,560,19,23,15,
Texas Barber College,Texas Barber College,8201 S. Gessner Road  Suite A,Houston,-95.532975,29.690360,69,9699,,,,,,,,,20,
Texas Beauty College,Texas Beauty College,4123 Denton Hwy,Haltom city,-97.265311,32.826045,86,4517,,,,,,,,,50,
Texas Chiropractic College Foundation Inc,Texas Chiropractic College Foundation Inc,5912 Spencer Hwy,Pasadena,-95.150135,29.663702,,,,,,,,,,,,
Texas Christian University,Texas Christian University,2800 S University Dr,Fort Worth,-97.364758,32.709610,69,37344,20156,8210,580,660,570,683,26,30,13,
Texas College,Texas College,2404 N. Grand Avenue,Tyler,-95.312454,32.374560,92,19520,,,,,,,,,25,
Texas College of Cosmetology-Abilene,Texas College of Cosmetology-Abilene,117 Sayles Blvd.,Abilene,-99.747159,32.448891,74,11554,,,,,,,,,9,
Texas College of Cosmetology-Lubbock,Texas College of Cosmetology-Lubbock,3602 Slide Road  Suite B-18,Lubbock,-101.924031,33.561435,72,10891,,,,,,,,,9,
Texas College of Cosmetology-San Angelo,Texas College of Cosmetology-San Angelo,3504 Knickerbocker Road,San Angelo,-100.471940,31.420928,85,11150,,,,,,,,,9,
Texas County Technical College,Texas County Technical College,6915 S Hwy 63,Houston,-91.964963,37.300967,93,23052,18,9,,,,,,,10,
Texas Health and Science University,Texas Health and Science University,4005 Manchaca Rd,Austin,-97.785289,30.233143,35,,,,,,,,,,6,
Texas Health School,Texas Health School,11211 Katy Fwy Ste 170,Houston,-95.579710,29.783490,49,17773,,,,,,,,,19,
Texas Lutheran University,Texas Lutheran University,1000 W. Court St,Seguin,-97.982669,29.573261,97,19507,2198,1193,490,580,500,580,19,25,14,
Texas Southern University,Texas Southern University,3100 Cleburne St,Houston,-95.361113,29.721046,76,,13776,7802,420,500,410,490,15,19,18,
Texas Southmost College,Texas Southmost College,80 Fort Brown,Brownsville,-97.492241,25.899628,47,,,,,,,,,,19,
Texas State Technical College,Texas State Technical College,3801 Campus Drive,Waco,-97.084710,31.639295,60,,,,,,,,,,15,
Texas State University,Texas State University,601 University Dr,San Marcos,-97.943029,29.888885,52,,24923,11351,510,600,500,580,20,26,22,
Texas Tech University,Texas Tech University,Broadway and University Avenue,Lubbock,-101.874783,33.583448,55,,24452,17280,540,620,530,620,22,27,20,
Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center,3601 4th Street,Lubbock,-101.891915,33.589284,51,,,,,,,,,,7,
Texas Tech University Health Sciences Center-El Paso,Texas Tech University Health Sciences Center-El Paso,5001 El Paso Drive,El Paso,-106.431220,31.771891,78,,,,,,,,,,13,
Texas Tech University System Administration,Texas Tech University System Administration,1508 Knoxville Avenue,Lubbock,-101.892826,33.581169,,,,,,,,,,,,
Texas Wesleyan University,Texas Wesleyan University,1201 Wesleyan St,Fort Worth,-97.279613,32.732962,91,22694,4096,1469,460,550,470,550,20,24,15,
Texas Woman's University,Texas Woman's University,304 Administration Dr,Denton,-97.127842,33.226211,66,,5727,4971,490,590,480,570,17,23,16,
Textures Institute of Cosmetology,Textures Institute of Cosmetology,8325 North Michigan Road,Indianapolis,-86.218117,39.906649,91,15212,,,,,,,,,20,
Thaddeus Stevens College of Technology,Thaddeus Stevens College of Technology,750 E King St,Lancaster,-76.288718,40.037951,69,,1198,926,,,,,,,16,
Thanh Le College School of Cosmetology,Thanh Le College School of Cosmetology,12875 chapman ave,Garden Grove,-117.908306,33.789713,50,22601,,,,,,,,,20,
The  Beauty Institute,The  Beauty Institute,1921 Union Blvd,Allentown,-75.426780,40.625855,88,14635,,,,,,,,,4,
The Academy of Hair Design Six,The Academy of Hair Design Six,6552 US Hwy 49,Hattiesburg,-89.338576,31.350971,78,16535,,,,,,,,,10,
The Academy of Radio and TV Broadcasting,The Academy of Radio and TV Broadcasting,16052 Beach Blvd St 263n,Huntington Beach,-117.987762,33.729535,89,23672,,,,,,,,,3,
The Ailey School,The Ailey School,405 W 55th Street,New York,-73.986891,40.766921,47,28635,233,88,,,,,,,3,
The Art Institute of Atlanta,The Art Institute of Atlanta,6600 Peachtree Dunwoody Rd.  100 Embassy Row,Atlanta,-84.355252,33.936024,93,21143,,,,,,,,,23,
The Art Institute of Austin,The Art Institute of Austin,101 W. Louis Henna Blvd  Suite 100,Austin,-97.675263,30.479036,94,23074,,,,,,,,,17,
The Art Institute of Charleston,The Art Institute of Charleston,24 N. Market St,Charleston,-79.926971,32.781424,,,,,,,,,,,,
The Art Institute of Charlotte,The Art Institute of Charlotte,Three Lake Pointe Plaza  2110 Water Ridge Parkway,Charlotte,-80.927507,35.181837,,,,,,,,,,,,
The Art Institute of Cincinnati-AIC College of Design,The Art Institute of Cincinnati-AIC College of Design,1171 East Kemper Road,Cincinnati,-84.451296,39.285831,85,26920,39,16,,,,,,,6,
The Art Institute of Colorado,The Art Institute of Colorado,1200 Lincoln Street,Denver,-104.985847,39.735587,,,,,,,,,,,,
The Art Institute of Fort Lauderdale,The Art Institute of Fort Lauderdale,1799 SE 17th St,Fort Lauderdale,-80.123514,26.101096,,,,,,,,,,,,
The Art Institute of Houston,The Art Institute of Houston,River Oaks Plaza  4140 Southwest Freeway,Houston,-95.445598,29.730258,91,20978,,,,,,,,,16,
The Art Institute of Indianapolis,The Art Institute of Indianapolis,3500 DePauw Blvd  Suite 1010,Indianapolis,-86.221680,39.920113,,,,,,,,,,,,
The Art Institute of Las Vegas,The Art Institute of Las Vegas,2350 Corporate Circle,Henderson,-115.090268,36.024552,84,19348,,,,,,,,,15,
The Art Institute of Michigan,The Art Institute of Michigan,28175 Cabot Drive  Suite 120,Novi,-83.443117,42.499807,,,,,,,,,,,,
The Art Institute of Ohio-Cincinnati,The Art Institute of Ohio-Cincinnati,8845 Governor's Hill Dr.  Suite 100,Cincinnati,-84.317882,39.288802,,,,,,,,,,,,
The Art Institute of Philadelphia,The Art Institute of Philadelphia,1622 Chestnut Street,Philadelphia,-75.168130,39.951125,,,,,,,,,,,,
The Art Institute of Phoenix,The Art Institute of Phoenix,2233 W Dunlap Ave,Phoenix,-112.107494,33.566817,,,,,,,,,,,,
The Art Institute of Pittsburgh,The Art Institute of Pittsburgh,1400 Penn Avenue,Pittsburgh,-79.989022,40.447429,96,20639,,,,,,,,,,
The Art Institute of Pittsburgh-Online Division,The Art Institute of Pittsburgh-Online Division,1400 Penn Avenue,Pittsburgh,-79.989061,40.447510,88,19561,,,,,,,,,,
The Art Institute of Portland,The Art Institute of Portland,1122 NW Davis St.,Portland,-122.682644,45.524116,,,,,,,,,,,,
The Art Institute of Raleigh-Durham,The Art Institute of Raleigh-Durham,410 Blackwell St  Ste 200,Durham,-78.905445,35.991975,,,,,,,,,,,,
The Art Institute of San Antonio,The Art Institute of San Antonio,10000 IH-10 W Ste 200,San Antonio,-98.565560,29.532925,91,21248,,,,,,,,,16,
The Art Institute of Seattle,The Art Institute of Seattle,2323 Elliott Ave,Seattle,-122.349179,47.612271,86,23252,,,,,,,,,,
The Art Institute of Tennessee-Nashville,The Art Institute of Tennessee-Nashville,100 Centerview Drive  Suite 250,Nashville,-86.635403,36.154574,,,,,,,,,,,,
The Art Institute of Virginia Beach,The Art Institute of Virginia Beach,Two Columbus Center  4500 Main St Ste 100,Virginia Beach,-76.131737,36.842383,90,21284,,,,,,,,,15,
The Art Institute of Washington,The Art Institute of Washington,1820 N Fort Myer Dr,Arlington,-77.072629,38.895851,,,,,,,,,,,,
The Artisan College of Cosmetology,The Artisan College of Cosmetology,1645 Tiffin Ave.,Findlay,-83.618160,41.051725,,,,,,,,,,,,
The Baptist College of Florida,The Baptist College of Florida,5400 College Dr,Graceville,-85.503931,30.962708,84,9252,99,84,430,440,400,430,17,22,8,
The Barber School,The Barber School,16 West 7200 South,Midvale,-111.891446,40.621415,17,18942,,,,,,,,,20,
The Beauty Institute,The Beauty Institute,2215 N Military Trl suite I,West  Palm Beach,-80.111689,26.710119,89,10341,,,,,,,,,15,
The Beauty Institute-Ambler,The Beauty Institute-Ambler,50 E. Butler Pike,Ambler,-75.222204,40.154233,73,15289,,,,,,,,,7,
The Beauty School,The Beauty School,344 Stroud Mall Road Suite 308,Stroudsburg,-75.223872,40.989612,88,17897,,,,,,,,,5,
The Beauty School,The Beauty School,1058 Highland Circle Suite #4,Mountain Home,-92.368940,36.347041,79,14015,,,,,,,,,13,
The Chicago School of Professional Psychology at Chicago,The Chicago School of Professional Psychology at Chicago,325 N Wells Street,Chicago,-87.633790,41.888293,,,,,,,,,,,,
The Chicago School of Professional Psychology at Irvine,The Chicago School of Professional Psychology at Irvine,4199 Campus Dr,Irvine,-117.838089,33.650763,,,,,,,,,,,,
The Chicago School of Professional Psychology at Los Angeles,The Chicago School of Professional Psychology at Los Angeles,617 W 7th St,Los Angeles,-118.257251,34.047958,68,,310,106,,,,,,,5,
The Chicago School of Professional Psychology at San Diego,The Chicago School of Professional Psychology at San Diego,401 W. A Street at 1 Columbia Place,San Diego,-117.167054,32.718575,,,,,,,,,,,,
The Chicago School of Professional Psychology at Washington DC,The Chicago School of Professional Psychology at Washington DC,901 15th St NW,Washington,-77.033071,38.901630,,,,,,,,,,,,
The Chicago School of Professional Psychology at Xavier University of Louisiana,The Chicago School of Professional Psychology at Xavier University of Louisiana,1 Drexel Drive,New Orleans,-90.107924,29.965270,,,,,,,,,,,,
The Christ College of Nursing and Health Sciences,The Christ College of Nursing and Health Sciences,2139 Auburn Avenue,Cincinnati,-84.509564,39.121821,75,18208,275,175,438,543,443,490,19,23,14,
The Chrysm Insitute of Esthetics,The Chrysm Insitute of Esthetics,281 Independence Blvd Suite 101,Virginia Beach,-76.137320,36.845210,51,17938,,,,,,,,,20,
The Colburn Conservatory of Music,The Colburn Conservatory of Music,200 S. Grand Avenue,Los Angeles,-118.249841,34.054070,,,,,,,,,,,,
The Collective School Of Music,The Collective School Of Music,541 Avenue of the Americas,New York,-73.996851,40.737900,,,,,,,,,,,,
The College of Health Care Professions-Austin,The College of Health Care Professions-Austin,6330 E. Highway 290 Suite 180,Austin,-97.699064,30.322978,69,21162,,,,,,,,,11,
The College of Health Care Professions-Dallas,The College of Health Care Professions-Dallas,8585 N. STEMMONS FREEWAY  SUITE 300  NORTH TOWER,Dallas,-96.875021,32.830186,41,29124,,,,,,,,,11,
The College of Health Care Professions-Fort Worth,The College of Health Care Professions-Fort Worth,4248 North Freeway,Fort Worth,-97.311645,32.816901,63,25787,,,,,,,,,13,
The College of Health Care Professions-McAllen Campus,The College of Health Care Professions-McAllen Campus,1917 W. Nolana Ave Suite 100,McAllen,-98.234872,26.239856,75,20209,,,,,,,,,13,
The College of Health Care Professions-Northwest,The College of Health Care Professions-Northwest,240 Northwest Mall,Houston,-95.454298,29.799602,65,26023,,,,,,,,,14,
The College of Health Care Professions-San Antonio,The College of Health Care Professions-San Antonio,4738 N. W. Loop 410,San Antonio,-98.576627,29.488876,66,29878,,,,,,,,,13,
The College of Health Care Professions-South San Antonio,The College of Health Care Professions-South San Antonio,1964 SW Military Drive,San Antonio,-98.524797,29.356217,75,26354,,,,,,,,,13,
The College of Health Care Professions-Southwest Houston,The College of Health Care Professions-Southwest Houston,7322 SOUTHWEST FREEWAY SUITE 100,Houston,-95.517146,29.701897,72,24218,,,,,,,,,14,
The College of Idaho,The College of Idaho,2112 Cleveland Blvd,Caldwell,-116.677992,43.652284,100,26018,2754,1355,,,,,,,10,
The College of New Jersey,The College of New Jersey,2000 Pennington Road,Ewing,-74.778791,40.268651,41,,13625,6785,580,670,580,680,25,30,13,
The College of New Rochelle,The College of New Rochelle,29 Castle Pl,New Rochelle,-73.781104,40.899427,80,27821,1501,1239,450,550,440,520,17,21,14,
The College of Saint Rose,The College of Saint Rose,432 Western Ave,Albany,-73.786661,42.664297,95,21892,6408,5600,,,,,,,14,
The College of Saint Scholastica,The College of Saint Scholastica,1200 Kenwood Ave,Duluth,-92.106134,46.816082,82,24007,3808,2520,520,640,530,630,20,26,13,
The College of Westchester,The College of Westchester,325 Central Ave,White Plains,-73.784404,41.033687,98,16299,824,797,,,,,,,18,
The College of Wooster,The College of Wooster,1189 Beall Avenue,Wooster,-81.934674,40.810460,96,28715,6244,3383,570,680,560,690,25,30,11,
The Creative Center,The Creative Center,10850 Emmet Street,Omaha,-96.082837,41.290922,61,37884,24,16,,,,,,,9,
The Creative Circus,The Creative Circus,812 Lambert Dr.,Atlanta,-84.361989,33.813156,10,32931,,,,,,,,,6,
The Culinary School of Fort Worth,The Culinary School of Fort Worth,6550 Camp Bowie Blvd #110,Fort Worth,-97.428672,32.724044,0,,,,,,,,,,12,
The Esthetic Institute,The Esthetic Institute,8381 Old Courthouse Road STE 320,Vienna,-77.234171,38.914385,22,,,,,,,,,,18,
The Evergreen State College,The Evergreen State College,2700 Evergreen Pkwy NW,Olympia,-122.977492,47.073820,66,,1194,1137,,,,,,,21,
The Fab School,The Fab School,9571 Pittsburgh Avenue,Rancho Cucamonga,-117.555168,34.079866,41,30711,,,,,,,,,12,
The General Theological Seminary,The General Theological Seminary,440 West 21st Street,New York,-74.003780,40.745563,,,,,,,,,,,,
The Hair Academy,The Hair Academy,2101 East Broadway Avenue,Bismarck,-100.760320,46.805857,48,11185,,,,,,,,,17,
The Hair Academy LLC,The Hair Academy LLC,201 West College Street,Fayetteville,-86.572164,35.152662,35,13111,,,,,,,,,9,
The Healthcare Institute,The Healthcare Institute,1822 Fredericksburg Road,San Antonio,-98.523081,29.461920,18,,,,,,,,,,10,
The Illinois Institute of Art-Chicago,The Illinois Institute of Art-Chicago,350 N Orleans St  Suite 136-L,Chicago,-87.637632,41.888723,,,,,,,,,,,,
The Illinois Institute of Art-Schaumburg,The Illinois Institute of Art-Schaumburg,1000 Plaza Drive  Ste. 100,Schaumburg,-88.044026,42.048249,,,,,,,,,,,,
The Institute of Beauty and Wellness,The Institute of Beauty and Wellness,327 East Saint Paul Avenue,Milwaukee,-87.906535,43.034940,49,9824,,,,,,,,,7,
The International Culinary Center,The International Culinary Center,462 Broadway,New York,-74.000090,40.720817,25,44871,,,,,,,,,10,
The John Marshall Law School,The John Marshall Law School,315 S Plymouth Ct,Chicago,-87.628567,41.877966,,,,,,,,,,,,
The Juilliard School,The Juilliard School,60 Lincoln Center Plaza,New York,-73.982913,40.773725,77,32130,2848,217,,,,,,,5,
The King's College,The King's College,56 Broadway,New York,-74.012342,40.706677,95,33305,2003,1078,590,670,530,640,24,29,15,
The King's University,The King's University,2121 E. Southlake Boulevard,Southlake,-97.121526,32.939730,70,23252,110,24,450,560,440,530,20,25,12,
The Landing School,The Landing School,286 River Rd,Arundel,-70.503619,43.380492,76,25638,,,,,,,,,8,
The Master's University and Seminary,The Master's University and Seminary,21726 Placerita Canyon Road,Santa Clarita,-118.518193,34.381755,85,27207,718,552,500,650,490,600,21,27,10,
The New England Conservatory of Music,The New England Conservatory of Music,290 Huntington Ave,Boston,-71.086290,42.340946,93,47881,1083,395,,,,,,,5,
The New School,The New School,66 West 12th Street,New York,-73.997114,40.735508,84,48447,9911,5623,590,670,560,690,24,30,10,
The New School Center for Media,The New School Center for Media,14 Computer Drive West,Albany,-73.809816,42.720596,64,8024,,,,,,,,,10,
The North Coast College,The North Coast College,11724 Detroit Avenue,Lakewood,-81.769767,41.484253,80,24345,17,14,,,,,,,6,
The Ohio Media School-Columbus,The Ohio Media School-Columbus,5330 East Main St.  Suite 200,Columbus,-82.855400,39.955294,34,25646,,,,,,,,,14,
The Professional Hair Design Academy,The Professional Hair Design Academy,3408 Mall Drive,Eau Claire,-91.461714,44.783374,49,10237,,,,,,,,,8,
The Recording Conservatory of Austin,The Recording Conservatory of Austin,4615 City Park Road,Austin,-97.831161,30.360236,15,31802,,,,,,,,,1,
The Restaurant School at Walnut Hill College,The Restaurant School at Walnut Hill College,4207 Walnut St,Philadelphia,-75.207490,39.955098,37,31762,215,199,,,,,,,21,
The Sage Colleges,The Sage Colleges,65 1st Street,Troy,-73.693711,42.728220,93,21340,2389,2229,,,,,,,10,
The Salon Professional Academy-Altoona,The Salon Professional Academy-Altoona,415 D Orchard Avenue,Altoona,-78.404069,40.467868,58,8950,,,,,,,,,11,
The Salon Professional Academy-Appleton,The Salon Professional Academy-Appleton,3355 W College Ave,Appleton,-88.457898,44.260190,55,8376,,,,,,,,,9,
The Salon Professional Academy-Battle Creek,The Salon Professional Academy-Battle Creek,1416 W. Columbia Ave.,Battle Creek,-85.224127,42.297776,,,,,,,,,,,,
The Salon Professional Academy-Cedar Falls,The Salon Professional Academy-Cedar Falls,1350 College Square Mall,Cedar Falls,-92.433262,42.511022,73,6960,,,,,,,,,17,
The Salon Professional Academy-Colorado Springs,The Salon Professional Academy-Colorado Springs,4388 Austin Bluffs Pkwy,Colorado Springs,-104.750884,38.896966,58,16417,,,,,,,,,3,
The Salon Professional Academy-Delray Beach,The Salon Professional Academy-Delray Beach,14610 South Military Trail  Ste G-4,Delray Beach,-80.119045,26.460950,96,21003,,,,,,,,,3,
The Salon Professional Academy-Evansville,The Salon Professional Academy-Evansville,5545 Vogel Rd,Evansville,-87.483521,37.987320,55,10237,,,,,,,,,13,
The Salon Professional Academy-Fargo,The Salon Professional Academy-Fargo,4377 15th Ave South,Fargo,-96.858729,46.859013,29,11345,,,,,,,,,10,
The Salon Professional Academy-Ft Myers,The Salon Professional Academy-Ft Myers,1388 Colonial Blvd,Fort Myers,-81.887326,26.595568,55,14951,,,,,,,,,6,
The Salon Professional Academy-Georgetown,The Salon Professional Academy-Georgetown,901 South IH 35,Georgetown,-97.688068,30.635778,8,,,,,,,,,,13,
The Salon Professional Academy-Grand Junction,The Salon Professional Academy-Grand Junction,432 North Avenue,Grand Junction,-108.565210,39.078114,61,8794,,,,,,,,,11,
The Salon Professional Academy-Huntsville,The Salon Professional Academy-Huntsville,4925 University Drive  Suite 134,Huntsville,-86.655724,34.736145,51,17574,,,,,,,,,10,
The Salon Professional Academy-Iowa City,The Salon Professional Academy-Iowa City,1550 South 1st Avenue,Iowa City,-91.503051,41.642610,,,,,,,,,,,,
The Salon Professional Academy-Kenosha,The Salon Professional Academy-Kenosha,3701 80th Street  Suite B,Kenosha,-87.853088,42.558040,55,13517,,,,,,,,,13,
The Salon Professional Academy-Lewisville,The Salon Professional Academy-Lewisville,2440 B S Stemmons Fwy,Lewisville,-96.964907,33.005024,52,12173,,,,,,,,,10,
The Salon Professional Academy-Melbourne,The Salon Professional Academy-Melbourne,1700 W. New Haven Avenue - Ste 540A,Melbourne,-80.651439,28.081445,83,17607,,,,,,,,,9,
The Salon Professional Academy-Nampa,The Salon Professional Academy-Nampa,120 Holly Street,Nampa,-116.563413,43.567768,62,7451,,,,,,,,,17,
The Salon Professional Academy-Nashville,The Salon Professional Academy-Nashville,2710 Old Lebanon Road  Suite 6,Nashville,-86.667242,36.170543,24,,,,,,,,,,7,
The Salon Professional Academy-North Little Rock,The Salon Professional Academy-North Little Rock,13125 HWY 107,Sherwood,-92.201974,34.857881,36,9682,,,,,,,,,10,
The Salon Professional Academy-Onalaska,The Salon Professional Academy-Onalaska,566 Theater Rd,Onalaska,-91.197320,43.873820,52,11482,,,,,,,,,9,
The Salon Professional Academy-Rochester,The Salon Professional Academy-Rochester,4229 Highway 52 North,Rochester,-92.504273,44.067621,95,23874,,,,,,,,,8,
The Salon Professional Academy-San Jose,The Salon Professional Academy-San Jose,1600 Saratoga Avenue  Suite 103,San Jose,-121.989475,37.292025,60,14992,,,,,,,,,14,
The Salon Professional Academy-Shorewood,The Salon Professional Academy-Shorewood,335 Vertin Boulevard,Shorewood,-88.203774,41.540252,60,13852,,,,,,,,,13,
The Salon Professional Academy-St Charles,The Salon Professional Academy-St Charles,3141 West Clay Street,St. Charles,-90.538719,38.788891,71,12214,,,,,,,,,10,
The Salon Professional Academy-Tonawanda,The Salon Professional Academy-Tonawanda,2309 Eggert Rd,Tonawanda,-78.824364,42.981584,45,10687,,,,,,,,,11,
The Salter School-Malden Campus,The Salter School-Malden Campus,2 Florence Street,Malden,-71.073630,42.427595,67,26693,,,,,,,,,11,
The Santa Barbara and Ventura Colleges of Law at Santa Barbara,The Santa Barbara and Ventura Colleges of Law at Santa Barbara,20 E Victoria St,Santa Barbara,-119.705160,34.424542,,,,,,,,,,,,
The Santa Barbara and Ventura Colleges of Law at Ventura,The Santa Barbara and Ventura Colleges of Law at Ventura,4475 Market St,Ventura,-119.232988,34.257470,,,,,,,,,,,,
The Seattle School of Theology & Psychology,The Seattle School of Theology & Psychology,2501 Elliott Avenue,Seattle,-122.350945,47.613373,,,,,,,,,,,,
The Southern Baptist Theological Seminary,The Southern Baptist Theological Seminary,2825 Lexington Rd,Louisville,-85.687649,38.248216,28,26473,315,212,490,630,460,573,19,25,14,
The Spa School,The Spa School,5050 N High,Columbus,-83.018081,40.065397,73,16824,,,,,,,,,24,
The Temple Annapolis-A Paul Mitchell Partner School,The Temple Annapolis-A Paul Mitchell Partner School,2303 Forest Drive,Annapolis,-76.543104,38.980115,53,17739,,,,,,,,,10,
The Temple-A Paul Mitchell Partner School,The Temple-A Paul Mitchell Partner School,22 W Church St,Frederick,-77.411651,39.415249,39,17265,,,,,,,,,10,
The Training Domain,The Training Domain,12761 World Plaza Lane,Fort Myers,-81.878721,26.558820,100,14825,,,,,,,,,1,
The University of Aesthetics & Cosmetology,The University of Aesthetics & Cosmetology,1037-1043 Curtiss St.,Downers Grove,-88.011242,41.793540,53,9917,,,,,,,,,12,
The University of Alabama,The University of Alabama,739 University Blvd,Tuscaloosa,-87.545978,33.211875,58,,37302,22032,540,640,520,640,23,31,22,
The University of America,The University of America,41707 Winchester  Road,Temecula,-117.167871,33.519293,0,,,,,,,,,,,
The University of Findlay,The University of Findlay,1000 North Main Street,Findlay,-83.652313,41.053344,68,24122,3462,2572,530,630,522,617,21,26,16,
The University of Montana,The University of Montana,Missoula  Montana,Missoula,-113.982912,46.859312,62,,5475,4829,530,640,510,620,20,26,16,
The University of Montana-Western,The University of Montana-Western,710 S Atlantic,Dillon,-112.639264,45.208306,65,,722,435,490,580,450,540,17,22,17,
The University of Tampa,The University of Tampa,401 W Kennedy Blvd,Tampa,-82.464830,27.948455,87,30683,22310,10862,550,630,540,620,22,27,17,
The University of Tennessee Health Science Center,The University of Tennessee Health Science Center, ,Memphis,-90.033138,35.140231,73,,,,,,,,,,7,
The University of Tennessee Institute for Public Service,The University of Tennessee Institute for Public Service,1610 University Avenue,Knoxville,-83.938548,35.967474,,,,,,,,,,,,
The University of Tennessee System Office,The University of Tennessee System Office,1331 Circle Park Drive,Knoxville,-83.925949,35.952781,,,,,,,,,,,,
The University of Tennessee-Chattanooga,The University of Tennessee-Chattanooga,615 McCallie Ave,Chattanooga,-85.300247,35.047519,73,,8854,6695,500,620,490,590,21,27,19,
The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,527 Andy Holt Tower,Knoxville,-83.925852,35.952082,74,,20457,15912,580,660,570,670,25,31,17,
The University of Tennessee-Martin,The University of Tennessee-Martin,554 University Street,Martin,-88.864211,36.340338,86,,8047,5544,,,,,21,26,15,
The University of Texas at Arlington,The University of Texas at Arlington,701 S. Nedderman Dr.,Arlington,-97.112960,32.729718,57,,12335,9809,530,630,530,630,20,26,24,
The University of Texas at Austin,The University of Texas at Austin,110 Inner Campus Drive,Austin,-97.738273,30.282825,49,,50575,19482,620,720,610,760,27,33,18,
The University of Texas at Dallas,The University of Texas at Dallas,800 West Campbell  Road,Richardson,-96.749702,32.984673,66,,15326,10609,600,700,620,740,25,32,25,
The University of Texas at El Paso,The University of Texas at El Paso,500 W. University Ave,El Paso,-106.504098,31.770150,66,,10456,10455,470,570,470,560,17,22,20,
The University of Texas at San Antonio,The University of Texas at San Antonio,One UTSA Circle,San Antonio,-98.620657,29.583709,68,,16918,13370,520,620,520,600,20,25,25,
The University of Texas at Tyler,The University of Texas at Tyler,3900 University Blvd,Tyler,-95.254337,32.315772,55,,3086,2416,550,640,530,640,21,27,19,
The University of Texas Health Science Center at Houston,The University of Texas Health Science Center at Houston,7000 Fannin,Houston,-95.403183,29.702873,62,,,,,,,,,,5,
The University of Texas Health Science Center at San Antonio,The University of Texas Health Science Center at San Antonio,7703 Floyd Curl Dr,San Antonio,-98.575655,29.508107,63,,,,,,,,,,6,
The University of Texas MD Anderson Cancer Center,The University of Texas MD Anderson Cancer Center,1515 Holcombe Blvd.,Houston,-95.396804,29.707016,55,,,,,,,,,,11,
The University of Texas Medical Branch,The University of Texas Medical Branch,301 University Blvd,Galveston,-94.775956,29.310758,36,,,,,,,,,,14,
The University of Texas of the Permian Basin,The University of Texas of the Permian Basin,4901 E University,Odessa,-102.329634,31.889509,39,,779,705,490,570,480,560,17,22,20,
The University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley,1201 W University Dr,Edinburg,-98.173567,26.306759,75,,11191,9069,480,570,470,550,17,22,19,
