,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
404,Johnson University Florida,1011 Bill Beck Blvd,Kissimmee,-81.36305300000001,28.302546999999997,96.0,14340.0,133.0,87.0,480.0,570.0,430.0,540.0,16.0,21.0,10.0,65.41353383458647,2,Less Selective/Lowest Scores,0,Grocery Store,Pizza Place,Fried Chicken Joint,Convenience Store,Wings Joint,Steakhouse,Bakery,Italian Restaurant,BBQ Joint,Gas Station,Latin American Restaurant,Street Food Gathering,Furniture / Home Store,Diner,Fabric Shop,Coffee and Casual
405,Judson College,302 Bibb St,Marion,-87.315206,32.629253000000006,94.0,16348.0,529.0,255.0,550.0,585.0,480.0,580.0,17.0,23.0,5.0,48.20415879017013,1,Least Selective/Lower Scores,2,Discount Store,Fast Food Restaurant,Sandwich Place,Hotel,Zoo Exhibit,Falafel Restaurant,Farmers Market,Farm,Fair,Field,Fabric Shop,Eye Doctor,Exhibit,Event Space,Event Service,Fast Food
406,Judson University,1151 N State St,Elgin,-88.291336,42.061754,52.0,21437.0,552.0,392.0,470.0,590.0,480.0,590.0,19.0,25.0,8.0,71.01449275362319,1,Least Selective/Lower Scores,0,Breakfast Spot,Ice Cream Shop,Coffee Shop,Pizza Place,Spa,Fast Food Restaurant,Italian Restaurant,Automotive Shop,Greek Restaurant,Trail,Bakery,Park,Gym / Fitness Center,Gun Shop,Grocery Store,Coffee and Casual
407,Kansas Wesleyan University,100 E. Claflin Ave.,Salina,-97.607973,38.813795,96.0,25221.0,861.0,403.0,480.0,590.0,500.0,580.0,20.0,25.0,10.0,46.80603948896632,1,Least Selective/Lower Scores,3,Fast Food Restaurant,Pizza Place,Coffee Shop,Burger Joint,Lingerie Store,Grocery Store,Italian Restaurant,BBQ Joint,Mexican Restaurant,Steakhouse,Cosmetics Shop,Brewery,Bowling Alley,Sports Bar,Chinese Restaurant,Variety of Cuisines
408,Kean University,1000 Morris Avenue,Union,-74.233503,40.677981,55.0,,9082.0,7809.0,450.0,540.0,440.0,540.0,17.0,22.0,17.0,85.98326359832636,2,Less Selective/Lowest Scores,0,Pizza Place,Hot Dog Joint,Park,Colombian Restaurant,South American Restaurant,Liquor Store,BBQ Joint,Coffee Shop,Café,Ice Cream Shop,Spanish Restaurant,Convenience Store,Food Truck,Gym,Bar,Coffee and Casual
409,Keene State College,229 Main Street,Keene,-72.279276,42.926452000000005,78.0,,4958.0,4034.0,490.0,580.0,470.0,560.0,18.0,24.0,14.0,81.36345300524404,1,Least Selective/Lower Scores,1,Sandwich Place,Mexican Restaurant,Bar,Coffee Shop,Pet Store,American Restaurant,Pizza Place,Liquor Store,Theater,Trail,Bakery,Bank,Gym / Fitness Center,Gym,Park,Outdoor Attractions
410,Kennesaw State University,1000 Chastain Rd,Kennesaw,-84.583052,34.038807,71.0,,13427.0,7779.0,550.0,640.0,530.0,630.0,21.0,26.0,21.0,57.93550309078722,0,Less Selective/Medium Scores,3,American Restaurant,Burger Joint,Ice Cream Shop,Steakhouse,BBQ Joint,Lingerie Store,Pizza Place,Pet Store,Fast Food Restaurant,Mexican Restaurant,Furniture / Home Store,Brewery,Breakfast Spot,Massage Studio,Men's Store,Variety of Cuisines
411,Kent State University at Kent,Executive Office  2nd Floor Library,Kent,-81.34253299999999,41.146653,70.0,,16337.0,13944.0,520.0,620.0,510.0,590.0,20.0,25.0,20.0,85.3522678582359,1,Least Selective/Lower Scores,1,Coffee Shop,Ice Cream Shop,Mexican Restaurant,American Restaurant,Bubble Tea Shop,Park,Dessert Shop,Bar,Burger Joint,Salon / Barbershop,Trail,Farmers Market,Farm,College Hockey Rink,Grocery Store,Outdoor Attractions
412,Kentucky Christian University,100 Academic Pkwy,Grayson,-82.945561,38.338805,85.0,18839.0,804.0,301.0,450.0,510.0,470.0,530.0,17.0,21.0,10.0,37.43781094527363,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Pizza Place,Gas Station,Rest Area,Discount Store,Truck Stop,Mexican Restaurant,Pharmacy,Sandwich Place,Seafood Restaurant,Italian Restaurant,Comfort Food Restaurant,Hotel,Diner,IT Services,Fast Food
413,Kentucky Mountain Bible College,855 Hwy 541,Jackson,-83.438765,37.603443,87.0,12365.0,53.0,26.0,490.0,550.0,410.0,460.0,15.0,25.0,12.0,49.056603773584904,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Discount Store,Shipping Store,Grocery Store,Gas Station,Sandwich Place,Pharmacy,Fried Chicken Joint,Ice Cream Shop,Pizza Place,Event Space,Exhibit,Farm,Eye Doctor,Event Service,Fast Food
414,Kentucky State University,400 East Main Street,Frankfort,-84.855402,38.201427,73.0,,1660.0,1198.0,420.0,500.0,400.0,503.0,15.0,19.0,12.0,72.16867469879517,2,Less Selective/Lowest Scores,4,Mexican Restaurant,Discount Store,Sandwich Place,Pizza Place,Bakery,History Museum,Department Store,American Restaurant,Café,Coffee Shop,Ice Cream Shop,Lounge,Thai Restaurant,Salon / Barbershop,Tex-Mex Restaurant,Pizza and Dessert
415,Kentucky Wesleyan College,3000 Frederica Street,Owensboro,-87.119658,37.744489,95.0,26422.0,1607.0,1031.0,390.0,593.0,440.0,580.0,19.0,26.0,13.0,64.1568139390168,1,Least Selective/Lower Scores,3,Mexican Restaurant,Fast Food Restaurant,Steakhouse,American Restaurant,Sandwich Place,Park,Pizza Place,Gym,Japanese Restaurant,Coffee Shop,Bakery,Hotel,Ice Cream Shop,Gym / Fitness Center,Greek Restaurant,Variety of Cuisines
416,Kenyon College,Kenyon College,Gambier,-82.397977,40.374408,58.0,32271.0,6152.0,2204.0,640.0,730.0,640.0,740.0,29.0,33.0,10.0,35.825747724317296,3,Most Selective/Highest Scores,4,Sandwich Place,American Restaurant,Discount Store,Pharmacy,Fast Food Restaurant,Coffee Shop,Ice Cream Shop,Pizza Place,Deli / Bodega,Mexican Restaurant,Big Box Store,Diner,Department Store,Salon / Barbershop,Hardware Store,Pizza and Dessert
417,Kettering College,3737 Southern Blvd,Kettering,-84.192006,39.695052000000004,71.0,19037.0,199.0,53.0,580.0,600.0,560.0,600.0,20.0,24.0,10.0,26.633165829145728,1,Least Selective/Lower Scores,0,Park,Ice Cream Shop,Sandwich Place,American Restaurant,Italian Restaurant,Golf Course,Grocery Store,Department Store,Breakfast Spot,Supermarket,Chinese Restaurant,Coffee Shop,College Basketball Court,Library,Liquor Store,Coffee and Casual
418,Kettering University,1700 University Avenue,Flint,-83.71282,43.012468,97.0,39036.0,2237.0,1572.0,590.0,670.0,600.0,700.0,25.0,30.0,15.0,70.27268663388466,0,Less Selective/Medium Scores,1,Sandwich Place,Burger Joint,Bar,Farmers Market,Mexican Restaurant,Chinese Restaurant,Coffee Shop,Café,Pub,Taco Place,Dive Bar,Wine Bar,Rock Club,Donut Shop,Museum,Outdoor Attractions
419,King University,1350 King College Rd,Bristol,-82.159421,36.585309,74.0,21034.0,1046.0,608.0,470.0,580.0,480.0,580.0,19.0,25.0,12.0,58.12619502868069,1,Least Selective/Lower Scores,3,American Restaurant,Fast Food Restaurant,Sandwich Place,Italian Restaurant,Burger Joint,Pizza Place,Bar,Park,Brewery,Tourist Information Center,Bagel Shop,Bakery,Mexican Restaurant,Museum,Gym,Variety of Cuisines
420,Kutztown University of Pennsylvania,15200 Kutztown Rd,Kutztown,-75.78393299999999,40.513560999999996,62.0,,8112.0,6741.0,490.0,580.0,480.0,560.0,18.0,24.0,18.0,83.0991124260355,1,Least Selective/Lower Scores,4,Discount Store,Bar,Pizza Place,Grocery Store,Diner,Coffee Shop,Sandwich Place,American Restaurant,Gas Station,Italian Restaurant,Park,Donut Shop,Burger Joint,Ice Cream Shop,Brewery,Pizza and Dessert
