,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
1051,University of South Florida-Sarasota-Manatee,8350 N Tamiami Trail,Sarasota,-82.562725,27.391579999999998,55.0,,771.0,250.0,583.0,640.0,553.0,648.0,24.0,28.0,12.0,32.425421530479895,0,Less Selective/Medium Scores,0,Museum,Breakfast Spot,Hotel,Seafood Restaurant,Art Museum,Grocery Store,Performing Arts Venue,Convenience Store,Vietnamese Restaurant,Other Repair Shop,Resort,Gun Range,Dive Bar,Bar,Bakery,Coffee and Casual
1052,University of South Florida-St Petersburg,140 Seventh Ave S.,St. Petersburg,-82.636136,27.763871999999996,57.0,,4254.0,1644.0,570.0,650.0,530.0,600.0,23.0,27.0,18.0,38.645980253878705,1,Least Selective/Lower Scores,0,Park,Coffee Shop,Italian Restaurant,Asian Restaurant,Ice Cream Shop,Brewery,Steakhouse,Burger Joint,Mexican Restaurant,Gastropub,New American Restaurant,Restaurant,Tapas Restaurant,Café,Cocktail Bar,Coffee and Casual
1053,University of Southern California,University Park,Los Angeles,-118.28416899999999,34.021281,61.0,36161.0,64352.0,8339.0,660.0,740.0,690.0,790.0,30.0,34.0,9.0,12.95841621084038,3,Most Selective/Highest Scores,1,Theater,Coffee Shop,Korean Restaurant,Food Court,Grocery Store,Breakfast Spot,Asian Restaurant,Science Museum,Movie Theater,Bookstore,Sandwich Place,Music Venue,Ethiopian Restaurant,Greek Restaurant,General Entertainment,Outdoor Attractions
1054,University of Southern Indiana,8600 University Blvd,Evansville,-87.677214,37.962374,52.0,,4449.0,4208.0,490.0,590.0,490.0,590.0,19.0,25.0,16.0,94.5830523713194,1,Least Selective/Lower Scores,3,Fast Food Restaurant,Pizza Place,Ice Cream Shop,Sandwich Place,Mexican Restaurant,Coffee Shop,American Restaurant,Bar,Hardware Store,Brewery,Supermarket,Steakhouse,German Restaurant,Restaurant,Burger Joint,Variety of Cuisines
1055,University of Southern Maine,96 Falmouth St,Portland,-70.274247,43.662863,61.0,,4254.0,3634.0,480.0,590.0,460.0,560.0,19.0,25.0,13.0,85.42548189938881,1,Least Selective/Lower Scores,1,Coffee Shop,Pizza Place,Brewery,Bakery,Grocery Store,Seafood Restaurant,Donut Shop,Bar,Breakfast Spot,Farmers Market,Trail,Park,BBQ Joint,Bagel Shop,Farm,Outdoor Attractions
1056,University of St Francis,500 N Wilcox St,Joliet,-88.096057,41.532225,89.0,19418.0,1847.0,864.0,520.0,600.0,510.0,590.0,20.0,26.0,13.0,46.778559826746076,1,Least Selective/Lower Scores,3,American Restaurant,Mexican Restaurant,Breakfast Spot,Donut Shop,Pharmacy,Grocery Store,Sports Bar,Sandwich Place,Pizza Place,Fast Food Restaurant,Hot Dog Joint,Coffee Shop,Theater,Restaurant,Liquor Store,Variety of Cuisines
1057,University of St Thomas,3800 Montrose Blvd,Houston,-95.393102,29.736438,77.0,20294.0,1216.0,1000.0,540.0,630.0,520.0,620.0,22.0,25.0,11.0,82.23684210526315,1,Least Selective/Lower Scores,1,Coffee Shop,Brewery,Pizza Place,Grocery Store,Park,Café,Breakfast Spot,Bakery,Bar,Burger Joint,Bookstore,Record Shop,Art Museum,Mediterranean Restaurant,Liquor Store,Outdoor Attractions
1058,University of St Thomas,2115 Summit Ave,Saint Paul,-93.188986,44.943439,93.0,30183.0,7163.0,5758.0,570.0,670.0,560.0,710.0,24.0,29.0,14.0,80.38531341616641,0,Less Selective/Medium Scores,1,Coffee Shop,Brewery,Pizza Place,Grocery Store,Park,Café,Breakfast Spot,Bakery,Bar,Burger Joint,Bookstore,Record Shop,Art Museum,Mediterranean Restaurant,Liquor Store,Outdoor Attractions
1059,University of the Cumberlands,6191 College Station Drive,Williamsburg,-84.16164599999999,36.737048,56.0,17588.0,2348.0,1721.0,485.0,590.0,510.0,590.0,20.0,26.0,15.0,73.29642248722317,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Gas Station,Mexican Restaurant,Hotel,Mountain,Pizza Place,Pharmacy,Sandwich Place,Breakfast Spot,Fried Chicken Joint,Discount Store,Water Park,Big Box Store,Airport,Ice Cream Shop,Fast Food
1060,University of the Incarnate Word,4301 Broadway,San Antonio,-98.46583000000001,29.46708,90.0,24098.0,4894.0,4304.0,480.0,580.0,470.0,560.0,17.0,22.0,11.0,87.94442174090723,1,Least Selective/Lower Scores,1,Coffee Shop,Bar,Burger Joint,American Restaurant,Park,Grocery Store,Pizza Place,Botanical Garden,Italian Restaurant,Ice Cream Shop,Taco Place,Lounge,Thai Restaurant,Golf Course,Science Museum,Outdoor Attractions
1061,University of the Pacific,3601 Pacific Ave,Stockton,-121.312301,37.981424,89.0,29819.0,13545.0,8598.0,560.0,660.0,560.0,690.0,22.0,30.0,13.0,63.47729789590255,0,Less Selective/Medium Scores,1,Coffee Shop,Chinese Restaurant,American Restaurant,Fast Food Restaurant,Pizza Place,Bakery,Grocery Store,Seafood Restaurant,Tex-Mex Restaurant,Sporting Goods Shop,Baseball Stadium,Park,Bar,Liquor Store,Indian Restaurant,Outdoor Attractions
1062,University of the Sciences,600 South 43rd Street,Philadelphia,-75.207001,39.946412,99.0,33070.0,4212.0,2665.0,560.0,640.0,560.0,670.0,23.0,29.0,7.0,63.27160493827161,0,Less Selective/Medium Scores,0,Coffee Shop,Park,Trail,Grocery Store,Southern / Soul Food Restaurant,Bakery,Gourmet Shop,Gift Shop,Gastropub,Taco Place,Middle Eastern Restaurant,French Restaurant,Steakhouse,Food Truck,Museum,Coffee and Casual
1063,University of Toledo,2801 W Bancroft,Toledo,-83.614714,41.660571999999995,73.0,,10792.0,10107.0,510.0,610.0,510.0,630.0,20.0,26.0,20.0,93.6527057079318,1,Least Selective/Lower Scores,3,Fast Food Restaurant,Coffee Shop,Pizza Place,Lebanese Restaurant,Mexican Restaurant,Burger Joint,Chinese Restaurant,Garden,Grocery Store,Bagel Shop,Bar,College Football Field,Park,Basketball Stadium,Spa,Variety of Cuisines
1064,University of Tulsa,800 South Tucker Drive,Tulsa,-95.945941,36.152324,90.0,25436.0,8526.0,3476.0,590.0,710.0,590.0,700.0,25.0,32.0,11.0,40.769411212760964,3,Most Selective/Highest Scores,3,Mexican Restaurant,Pizza Place,American Restaurant,Coffee Shop,Convenience Store,Park,Burger Joint,New American Restaurant,Ice Cream Shop,Sandwich Place,Bagel Shop,Bakery,Baseball Stadium,Café,Theater,Variety of Cuisines
1065,University of Utah,201 Presidents Circle  ROOM 201,Salt Lake City,-111.84604399999999,40.762484,58.0,,23096.0,15441.0,570.0,670.0,560.0,680.0,22.0,29.0,17.0,66.85573259438864,0,Less Selective/Medium Scores,0,Coffee Shop,Pizza Place,Grocery Store,Bakery,Zoo,Park,Sandwich Place,Zoo Exhibit,College Library,Restaurant,Cocktail Bar,Concert Hall,Candy Store,Spa,Burger Joint,Coffee and Casual
1066,University of Vermont,85 S Prospect St,Burlington,-73.196646,44.477325,80.0,,21263.0,14365.0,600.0,680.0,580.0,680.0,26.0,31.0,16.0,67.55866999012369,0,Less Selective/Medium Scores,1,Brewery,Coffee Shop,Bagel Shop,Park,Bakery,Deli / Bodega,Ice Cream Shop,Pizza Place,Gourmet Shop,Grocery Store,Liquor Store,Sporting Goods Shop,Beer Garden,Tea Room,Bistro,Outdoor Attractions
1067,University of Virginia-Main Campus,1827 University Avenue,Charlottesville,-78.503428,38.035665,43.0,,37182.0,9828.0,660.0,730.0,670.0,770.0,30.0,34.0,15.0,26.432144586090047,3,Most Selective/Highest Scores,0,Bagel Shop,Music Venue,Brewery,Burger Joint,New American Restaurant,Pizza Place,Bakery,Hotel,BBQ Joint,Shopping Mall,Restaurant,French Restaurant,Mexican Restaurant,Basketball Stadium,Sports Bar,Coffee and Casual
1068,University of Washington-Bothell Campus,18115 Campus Way NE,Bothell,-122.19129299999999,47.759772999999996,46.0,,3022.0,2398.0,510.0,610.0,520.0,640.0,19.0,26.0,20.0,79.35142289874256,1,Least Selective/Lower Scores,1,Brewery,Pizza Place,Coffee Shop,Burger Joint,Asian Restaurant,Italian Restaurant,Winery,Grocery Store,Restaurant,Performing Arts Venue,Trail,Gaming Cafe,Mexican Restaurant,Park,Gym,Outdoor Attractions
1069,University of Washington-Seattle Campus,1400 NE Campus Parkway,Seattle,-122.30514,47.65538,46.0,,45907.0,22350.0,600.0,700.0,620.0,760.0,27.0,32.0,19.0,48.68538567103056,3,Most Selective/Highest Scores,0,Coffee Shop,Ice Cream Shop,Park,Brewery,Japanese Restaurant,Scenic Lookout,Bookstore,Bakery,Garden,Seafood Restaurant,Pizza Place,Latin American Restaurant,Food & Drink Shop,Wine Bar,Dumpling Restaurant,Coffee and Casual
1070,University of Washington-Tacoma Campus,1900 Commerce St,Tacoma,-122.43854099999999,47.244594,67.0,,2036.0,1742.0,490.0,600.0,490.0,590.0,16.0,23.0,16.0,85.55992141453831,1,Least Selective/Lower Scores,1,Bar,Brewery,Mexican Restaurant,American Restaurant,Vietnamese Restaurant,Grocery Store,Thai Restaurant,Sandwich Place,Pub,Tapas Restaurant,Park,Gym,Coffee Shop,Cocktail Bar,Ice Cream Shop,Outdoor Attractions
1071,University of West Alabama,Station One,Livingston,-88.186329,32.588132,78.0,,8870.0,3518.0,440.0,520.0,420.0,500.0,18.0,23.0,14.0,39.661781285231115,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Steakhouse,Discount Store,Gas Station,Hotel,Sandwich Place,Mexican Restaurant,Post Office,Pizza Place,Movie Theater,Festival,Fair,Eye Doctor,Falafel Restaurant,Farm,Fast Food
1072,University of West Georgia,1601 Maple St,Carrollton,-85.097762,33.573621,76.0,,8154.0,4745.0,490.0,570.0,430.0,510.0,18.0,22.0,19.0,58.19229825852342,2,Less Selective/Lowest Scores,3,Mexican Restaurant,American Restaurant,Ice Cream Shop,Hardware Store,Fast Food Restaurant,Sandwich Place,Grocery Store,Pizza Place,Park,Italian Restaurant,Donut Shop,Discount Store,Brewery,Breakfast Spot,Supermarket,Variety of Cuisines
1073,University of Wisconsin-Madison,500 Lincoln Dr,Madison,-89.404098,43.075409,42.0,,42727.0,22104.0,630.0,700.0,650.0,750.0,27.0,32.0,17.0,51.73309616869894,3,Most Selective/Highest Scores,1,College Quad,Bar,Hotel,Pizza Place,American Restaurant,Gastropub,Park,Breakfast Spot,Burger Joint,Plaza,Scenic Lookout,Grocery Store,College Basketball Court,Donut Shop,Cajun / Creole Restaurant,Outdoor Attractions
1074,University of Wyoming,Corner of Ninth and Ivinson,Laramie,-105.57931,41.311772999999995,72.0,,5293.0,5083.0,530.0,640.0,520.0,640.0,22.0,28.0,15.0,96.03249574910258,0,Less Selective/Medium Scores,1,Bar,Mexican Restaurant,Coffee Shop,Hotel,Brewery,Pub,Steakhouse,American Restaurant,Ice Cream Shop,Grocery Store,Liquor Store,Thai Restaurant,Bookstore,Sushi Restaurant,Supplement Shop,Outdoor Attractions
1075,Upper Iowa University,605 Washington St,Fayette,-91.799543,42.838283000000004,53.0,21630.0,1791.0,904.0,465.0,570.0,470.0,600.0,18.0,23.0,13.0,50.474595198213294,1,Least Selective/Lower Scores,1,Pizza Place,Nature Preserve,Lake,Sports Bar,Bar,Coffee Shop,American Restaurant,Furniture / Home Store,Golf Course,Falafel Restaurant,Fast Food Restaurant,Farmers Market,Farm,Zoo Exhibit,Fair,Outdoor Attractions
1076,Urbana University,579 College Way,Urbana,-83.760301,40.102594,24.0,21774.0,518.0,515.0,460.0,540.0,430.0,560.0,20.0,25.0,9.0,99.42084942084942,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Pizza Place,Gas Station,Ice Cream Shop,Big Box Store,Coffee Shop,Mexican Restaurant,Discount Store,Diner,Tennis Stadium,Chinese Restaurant,Gym / Fitness Center,Sandwich Place,Salon / Barbershop,Supermarket,Fast Food
1077,Ursuline College,2550 Lander Rd,Pepper Pike,-81.465118,41.497035,76.0,17054.0,528.0,477.0,515.0,585.0,505.0,575.0,19.0,24.0,8.0,90.3409090909091,1,Least Selective/Lower Scores,3,American Restaurant,Grocery Store,Thai Restaurant,Cosmetics Shop,Furniture / Home Store,Clothing Store,Ice Cream Shop,Shopping Mall,Sandwich Place,Salon / Barbershop,Mexican Restaurant,Steakhouse,Fried Chicken Joint,Electronics Store,Park,Variety of Cuisines
1078,Utah State University,Old Main Hill,Logan,-111.81391,41.740747999999996,57.0,,15099.0,13446.0,530.0,650.0,520.0,640.0,21.0,28.0,20.0,89.05225511623286,0,Less Selective/Medium Scores,3,Mexican Restaurant,Pizza Place,Coffee Shop,Burger Joint,American Restaurant,Bakery,Donut Shop,Breakfast Spot,Sandwich Place,Italian Restaurant,Movie Theater,Fast Food Restaurant,Indian Restaurant,Ice Cream Shop,Liquor Store,Variety of Cuisines
1079,Valdosta State University,1500 N Patterson St,Valdosta,-83.289282,30.847402000000002,77.0,,6557.0,4105.0,510.0,590.0,490.0,550.0,19.0,23.0,19.0,62.60484977886228,2,Less Selective/Lowest Scores,3,Fast Food Restaurant,Coffee Shop,Restaurant,BBQ Joint,Steakhouse,American Restaurant,Mexican Restaurant,Grocery Store,Hardware Store,Seafood Restaurant,Hotel,Dive Bar,Pet Store,Clothing Store,Sandwich Place,Variety of Cuisines
1080,Valley City State University,101 College St SW,Valley City,-98.00389,46.918517,54.0,,460.0,339.0,440.0,520.0,460.0,570.0,18.0,23.0,13.0,73.69565217391305,2,Less Selective/Lowest Scores,4,Pizza Place,Convenience Store,Sandwich Place,Steakhouse,Ice Cream Shop,RV Park,Fast Food Restaurant,Thrift / Vintage Store,Burger Joint,American Restaurant,Park,Discount Store,Restaurant,Home Service,Fair,Pizza and Dessert
1081,Valparaiso University,US Highway 30 and Sturdy Road,Valparaiso,-87.040172,41.462239000000004,96.0,23916.0,7062.0,6307.0,540.0,630.0,530.0,640.0,23.0,29.0,11.0,89.30897762673463,0,Less Selective/Medium Scores,3,Mexican Restaurant,Coffee Shop,Ice Cream Shop,Café,Sporting Goods Shop,Burger Joint,Brewery,Lounge,Bar,Grocery Store,Salon / Barbershop,Sandwich Place,Gift Shop,Fabric Shop,Bookstore,Variety of Cuisines
1082,Vanderbilt University,2101 West End Avenue,Nashville,-86.80336899999999,36.14659,67.0,23596.0,34313.0,3298.0,700.0,760.0,750.0,800.0,33.0,35.0,7.0,9.611517500655728,3,Most Selective/Highest Scores,1,Pizza Place,Burger Joint,Coffee Shop,Music Venue,American Restaurant,Ice Cream Shop,Gym / Fitness Center,Fried Chicken Joint,Liquor Store,Italian Restaurant,Taco Place,Park,Bar,Rock Club,Mexican Restaurant,Outdoor Attractions
1083,VanderCook College of Music,3140 South Federal Street,Chicago,-87.629138,41.836833,82.0,22874.0,29.0,27.0,590.0,670.0,540.0,600.0,21.0,25.0,5.0,93.10344827586206,0,Less Selective/Medium Scores,0,Park,Grocery Store,Coffee Shop,Hotel,Bar,Sandwich Place,Dessert Shop,Brewery,Garden,Mexican Restaurant,Gastropub,Diner,Fountain,Theater,Football Stadium,Coffee and Casual
1084,Vanguard University of Southern California,55 Fair Dr,Costa Mesa,-117.90091100000001,33.662686,92.0,20572.0,4414.0,1773.0,480.0,570.0,470.0,550.0,17.0,23.0,15.0,40.16764839148165,2,Less Selective/Lowest Scores,1,Coffee Shop,Grocery Store,Shopping Mall,Fast Food Restaurant,Brewery,Bakery,Supermarket,Vegetarian / Vegan Restaurant,Pizza Place,Noodle House,Asian Restaurant,French Restaurant,Liquor Store,Donut Shop,Trail,Outdoor Attractions
1085,Vassar College,124 Raymond Ave,Poughkeepsie,-73.895088,41.686895,71.0,25211.0,8312.0,2043.0,680.0,740.0,690.0,770.0,31.0,33.0,8.0,24.578922040423485,3,Most Selective/Highest Scores,1,Pizza Place,Brewery,Restaurant,Bakery,Coffee Shop,New American Restaurant,Convenience Store,American Restaurant,Fried Chicken Joint,Farm,BBQ Joint,Bar,Breakfast Spot,Grocery Store,Beer Store,Outdoor Attractions
1086,Villanova University,800 Lancaster Avenue,Villanova,-75.345457,40.039388,53.0,36958.0,22741.0,6645.0,640.0,710.0,660.0,760.0,30.0,33.0,11.0,29.220350908051536,3,Most Selective/Highest Scores,1,American Restaurant,Coffee Shop,Convenience Store,Pizza Place,Park,Golf Course,Beer Store,Trail,Bakery,Mexican Restaurant,Farmers Market,Breakfast Spot,Garden,Bar,Electronics Store,Outdoor Attractions
1087,Virginia Commonwealth University,910 W Franklin St,Richmond,-77.452697,37.549620000000004,55.0,,16549.0,14273.0,550.0,640.0,520.0,620.0,21.0,28.0,18.0,86.24690313614116,0,Less Selective/Medium Scores,0,Coffee Shop,Park,Ice Cream Shop,Hotel,Sandwich Place,Brewery,General Entertainment,Gastropub,Bookstore,Latin American Restaurant,Monument / Landmark,Science Museum,Restaurant,Donut Shop,Gift Shop,Coffee and Casual
1088,Virginia Military Institute,VMI Parade,Lexington,-79.437067,37.7896,71.0,,1768.0,907.0,560.0,660.0,540.0,650.0,24.0,30.0,10.0,51.30090497737556,0,Less Selective/Medium Scores,4,American Restaurant,Gas Station,Hotel,Ice Cream Shop,Supermarket,Discount Store,Coffee Shop,Restaurant,Breakfast Spot,Taco Place,Brewery,Dessert Shop,Church,General Entertainment,Outlet Store,Pizza and Dessert
1089,Virginia Polytechnic Institute and State University,210 Burruss Hall  800 Drillfield Dr.,Blacksburg,-80.423675,37.229012,50.0,,31936.0,20709.0,590.0,680.0,590.0,710.0,25.0,31.0,14.0,64.84531563126252,0,Less Selective/Medium Scores,1,Bakery,Grocery Store,Pizza Place,Mexican Restaurant,Burger Joint,Coffee Shop,Hotel,College Cafeteria,Brewery,Frozen Yogurt Shop,Trail,Donut Shop,BBQ Joint,Bar,Dumpling Restaurant,Outdoor Attractions
1090,Virginia State University,1 Hayden Drive,Petersburg,-77.419026,37.234691999999995,91.0,,7007.0,6383.0,430.0,510.0,410.0,500.0,15.0,21.0,13.0,91.09461966604823,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Italian Restaurant,American Restaurant,Lingerie Store,Coffee Shop,Sandwich Place,Fast Food Restaurant,Pizza Place,Bakery,Sporting Goods Shop,Convenience Store,Brewery,Steakhouse,Gym / Fitness Center,Gym,Variety of Cuisines
1091,Virginia Union University,1500 N Lombardy St,Richmond,-77.450903,37.562405,94.0,21592.0,6397.0,2799.0,402.0,490.0,380.0,480.0,15.0,18.0,16.0,43.754885102391746,2,Less Selective/Lowest Scores,1,Brewery,Coffee Shop,Gym / Fitness Center,Gym,Sandwich Place,Hotel,Movie Theater,American Restaurant,Ice Cream Shop,Pizza Place,Burger Joint,Bookstore,Market,Science Museum,Mediterranean Restaurant,Outdoor Attractions
1092,Virginia Wesleyan University,5817 Wesleyan Drive,Virginia Beach,-76.18606,36.868417,92.0,25357.0,2656.0,1870.0,500.0,610.0,480.0,570.0,21.0,25.0,12.0,70.4066265060241,1,Least Selective/Lower Scores,3,Fast Food Restaurant,Grocery Store,Donut Shop,American Restaurant,Breakfast Spot,Coffee Shop,Vietnamese Restaurant,Warehouse Store,Sandwich Place,Convenience Store,Fried Chicken Joint,Mobile Phone Shop,Chinese Restaurant,Restaurant,Gym / Fitness Center,Variety of Cuisines
1093,Visible Music College,200 Madison Ave,Memphis,-90.04938100000001,35.144586,94.0,25620.0,59.0,59.0,520.0,640.0,520.0,630.0,14.0,24.0,6.0,100.0,0,Less Selective/Medium Scores,0,Bar,BBQ Joint,Hotel,Park,Burger Joint,Café,Museum,Theater,Boutique,Brewery,Grocery Store,Baseball Stadium,Brazilian Restaurant,Basketball Stadium,Farmers Market,Coffee and Casual
1094,Viterbo University,900 Viterbo Drive,La Crosse,-91.244297,43.803133,86.0,20721.0,1372.0,1040.0,520.0,660.0,520.0,740.0,21.0,26.0,11.0,75.80174927113703,3,Most Selective/Highest Scores,1,American Restaurant,Coffee Shop,Grocery Store,Sandwich Place,Pub,Hotel,Bar,Theater,Diner,Mexican Restaurant,Skating Rink,Brewery,Cajun / Creole Restaurant,BBQ Joint,Restaurant,Outdoor Attractions
1095,Wabash College,301 West Wabash Avenue,Crawfordsville,-86.906,40.037588,99.0,22101.0,1336.0,868.0,550.0,650.0,550.0,680.0,23.0,28.0,10.0,64.97005988023952,0,Less Selective/Medium Scores,4,Gas Station,Pizza Place,Sandwich Place,Discount Store,Fast Food Restaurant,Pharmacy,Ice Cream Shop,Hotel,Convenience Store,Video Store,Supermarket,Thrift / Vintage Store,Coffee Shop,Chinese Restaurant,Salon / Barbershop,Pizza and Dessert
1096,Waldorf University,106 S Sixth St,Forest City,-93.64171400000001,43.262923,72.0,19983.0,1071.0,808.0,460.0,560.0,460.0,550.0,17.0,22.0,23.0,75.44351073762839,2,Less Selective/Lowest Scores,4,Mexican Restaurant,State / Provincial Park,Latin American Restaurant,Pizza Place,Discount Store,Sandwich Place,Dive Bar,Café,Post Office,Fast Food Restaurant,American Restaurant,Hotel,Grocery Store,Ice Cream Shop,Convenience Store,Pizza and Dessert
1097,Walla Walla University,204 S College Ave,College Place,-118.389555,46.048088,89.0,22715.0,2220.0,1127.0,460.0,600.0,460.0,610.0,20.0,27.0,14.0,50.76576576576577,1,Least Selective/Lower Scores,3,Winery,Mexican Restaurant,American Restaurant,Grocery Store,Coffee Shop,Sandwich Place,Bar,Mediterranean Restaurant,Bakery,Hotel,Dessert Shop,Park,Restaurant,Asian Restaurant,Chinese Restaurant,Variety of Cuisines
1098,Walsh University,2020 East Maple St,North Canton,-81.36993100000001,40.873908,83.0,19609.0,1770.0,1377.0,490.0,610.0,500.0,580.0,19.0,26.0,13.0,77.79661016949152,1,Least Selective/Lower Scores,3,American Restaurant,Sandwich Place,Italian Restaurant,Mexican Restaurant,Wine Bar,Movie Theater,Breakfast Spot,Ice Cream Shop,Coffee Shop,Furniture / Home Store,Restaurant,Bagel Shop,Gas Station,Middle Eastern Restaurant,Gym / Fitness Center,Variety of Cuisines
1099,Warner University,13895 Hwy 27,Lake Wales,-81.599972,27.825751,98.0,17744.0,1359.0,481.0,450.0,550.0,440.0,540.0,16.0,21.0,13.0,35.39367181751288,2,Less Selective/Lowest Scores,4,Discount Store,American Restaurant,Convenience Store,Seafood Restaurant,Wings Joint,Grocery Store,Airport,Pizza Place,Fast Food Restaurant,Italian Restaurant,Bowling Alley,BBQ Joint,Video Store,Zoo Exhibit,Farm,Pizza and Dessert
1100,Warren Wilson College,701 Warren Wilson Rd,Swannanoa,-82.442619,35.610328,94.0,27527.0,1013.0,867.0,610.0,670.0,530.0,615.0,21.0,28.0,10.0,85.5873642645607,0,Less Selective/Medium Scores,3,Coffee Shop,Scenic Lookout,Fast Food Restaurant,Brewery,Mexican Restaurant,Supermarket,American Restaurant,Grocery Store,Pizza Place,Clothing Store,Salon / Barbershop,Sandwich Place,Bookstore,Beer Garden,Summer Camp,Variety of Cuisines
1101,Wartburg College,100 Wartburg Blvd.,Waverly,-92.483387,42.7277,96.0,22599.0,4298.0,3254.0,510.0,570.0,510.0,590.0,20.0,26.0,11.0,75.70963238715682,1,Least Selective/Lower Scores,4,Pizza Place,Convenience Store,Bar,Sandwich Place,American Restaurant,Mexican Restaurant,Coffee Shop,Construction & Landscaping,Grocery Store,Discount Store,Video Store,Gym / Fitness Center,Big Box Store,Fast Food Restaurant,Gas Station,Pizza and Dessert
1102,Washington Adventist University,7600 Flower Ave,Takoma Park,-77.000608,38.986349,71.0,16862.0,3063.0,1591.0,440.0,570.0,420.0,500.0,14.0,20.0,10.0,51.94253999347045,2,Less Selective/Lowest Scores,3,Grocery Store,Coffee Shop,American Restaurant,Brewery,Mexican Restaurant,Trail,Indian Restaurant,Latin American Restaurant,Salad Place,Seafood Restaurant,Gym,Park,Greek Restaurant,Beer Store,Thai Restaurant,Variety of Cuisines
1103,Washington and Lee University,204 West Washington Street,Lexington,-79.44301800000001,37.788939,59.0,21918.0,5855.0,1239.0,670.0,730.0,678.0,760.0,31.0,34.0,8.0,21.161400512382578,3,Most Selective/Highest Scores,4,American Restaurant,Gas Station,Ice Cream Shop,Restaurant,Hotel,Breakfast Spot,Supermarket,Discount Store,Coffee Shop,Outlet Store,Diner,BBQ Joint,Sandwich Place,Cocktail Bar,Tapas Restaurant,Pizza and Dessert
1104,Washington State University,French Administration Building,Pullman,-117.15816799999999,46.730447999999996,68.0,,22773.0,17579.0,510.0,610.0,510.0,600.0,20.0,26.0,15.0,77.19228911430203,1,Least Selective/Lower Scores,1,Coffee Shop,American Restaurant,Bar,Pizza Place,Ice Cream Shop,Thai Restaurant,Asian Restaurant,Chinese Restaurant,Sandwich Place,New American Restaurant,Mexican Restaurant,Department Store,Brewery,Hotel,Taco Place,Outdoor Attractions
1105,Washington University in St Louis,One Brookings Drive,Saint Louis,-90.310604,38.647929,47.0,27931.0,31320.0,4708.0,710.0,770.0,760.0,800.0,32.0,35.0,7.0,15.031928480204343,3,Most Selective/Highest Scores,0,Zoo,Park,Coffee Shop,Taco Place,Chinese Restaurant,Wine Shop,Sandwich Place,Trail,BBQ Joint,Bakery,Bar,Restaurant,Grocery Store,Zoo Exhibit,Market,Coffee and Casual
1106,Watkins College of Art Design & Film,2298 Rosa L Parks Blvd,Nashville,-86.805888,36.194659,92.0,29475.0,152.0,107.0,390.0,560.0,410.0,540.0,18.0,25.0,7.0,70.39473684210526,2,Less Selective/Lowest Scores,1,Pizza Place,Hotel,Music Venue,Brewery,Bar,Restaurant,Concert Hall,Park,Cocktail Bar,Gym,Baseball Stadium,Liquor Store,Greek Restaurant,Golf Course,Coffee Shop,Outdoor Attractions
1107,Wayland Baptist University,1900 W 7th St.,Plainview,-101.730042,34.187677,50.0,21593.0,663.0,650.0,440.0,540.0,450.0,550.0,16.0,22.0,8.0,98.0392156862745,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Mexican Restaurant,Gas Station,Supermarket,American Restaurant,Pizza Place,Liquor Store,Sandwich Place,Gym / Fitness Center,Breakfast Spot,Clothing Store,Discount Store,Gift Shop,Tex-Mex Restaurant,Pharmacy,Fast Food
1108,Wayne State University,656 West Kirby Street,Detroit,-83.068998,42.358994,73.0,,16210.0,11533.0,510.0,610.0,500.0,600.0,21.0,27.0,14.0,71.14743985194323,1,Least Selective/Lower Scores,1,Farmers Market,History Museum,Deli / Bodega,American Restaurant,Brewery,Art Gallery,Bakery,Pizza Place,Performing Arts Venue,Bar,Nightclub,Neighborhood,Baseball Stadium,Bed & Breakfast,Beer Bar,Outdoor Attractions
1109,Waynesburg University,51 W College St,Waynesburg,-80.186205,39.899871000000005,95.0,19084.0,1590.0,1454.0,500.0,580.0,480.0,570.0,19.0,25.0,13.0,91.44654088050315,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Gas Station,Pizza Place,Discount Store,Pharmacy,Hotel,Sandwich Place,Big Box Store,Liquor Store,Grocery Store,Mexican Restaurant,Ice Cream Shop,Supermarket,Moving Target,Bank,Fast Food
